emoji,hexcode,group,subgroups,annotation,hfg_tags,hfg_author,hfg_date
󰀀,F0000,hfg,ui-element,"return, back button",,Jose Avila,2018-04-18
󰀁,F0001,hfg,ui-element,close,,Jose Avila,2018-04-18
󰀄,F0004,hfg,ui-element,forward,,Jose Avila,2018-04-18
󰀆,F0006,hfg,ui-element,hamburger menu,,Jose Avila,2018-04-18
󰀋,F000B,hfg,ui-element,upload,,Jose Avila,2018-04-18
󰀌,F000C,hfg,ui-element,download,,Jose Avila,2018-04-18
󰀍,F000D,hfg,ui-element,share,,Jose Avila,2018-04-18
󰀅,F0005,hfg,ui-element,wifi,,Baris Camli,2018-04-18
󰀉,F0009,hfg,ui-element,copy,,Baris Camli,2018-04-18
󰀓,F0013,hfg,technology,mouse,,Baris Camli,2018-04-18
󰀖,F0016,hfg,ui-element,contacts,,Baris Camli,2018-04-18
󰀚,F001A,hfg,ui-element,filter,,Baris Camli,2018-04-18
󰀝,F001D,hfg,other,toggle button,,Baris Camli,2018-04-18
󰀠,F0020,hfg,interaction,tap,,Baris Camli,2018-04-18
󰀣,F0023,hfg,other,exit,,Baris Camli,2018-04-18
󰀭,F002D,hfg,brand,Twitter,,Baris Camli,2018-04-18
󰀰,F0030,hfg,ui-element,cursor,,Baris Camli,2018-04-18
󰀳,F0033,hfg,other,location indicator,,Baris Camli,2018-04-18
󰀶,F0036,hfg,technology,augmented reality,,Baris Camli,2018-04-18
󰀼,F003C,hfg,other,wireframes,,Baris Camli,2018-04-18
󰀿,F003F,hfg,interaction,double tap,,Baris Camli,2018-04-18
󰁂,F0042,hfg,ui-element,details,,Baris Camli,2018-04-18
󰁅,F0045,hfg,ui-element,hold,,Baris Camli,2018-04-18
󰁈,F0048,hfg,technology,led,,Baris Camli,2018-04-18
󰁋,F004B,hfg,technology,motor,,Baris Camli,2018-04-18
󰁎,F004E,hfg,technology,raspberry pi,,Baris Camli,2018-04-18
󰁑,F0051,hfg,situation,safety,,Baris Camli,2018-04-18
󰁔,F0054,hfg,technology,virtual reality,,Baris Camli,2018-04-18
󰁚,F005A,hfg,other,first aid kit,,Baris Camli,2018-04-18
󰁝,F005D,hfg,other,cafeteria,,Baris Camli,2018-04-18
󰁣,F0063,hfg,other,code editor,,Baris Camli,2018-04-18
󰁧,F0067,hfg,technology,cable,,Baris Camli,2018-04-18
󰁪,F006A,hfg,other,armchair,,Baris Camli,2018-04-18
󰁭,F006D,hfg,other,donkey,,Baris Camli,2018-04-18
󰁱,F0071,hfg,interaction,mark,,Baris Camli,2018-04-18
󰁴,F0074,hfg,interaction,three finger operation,,Baris Camli,2018-04-18
󰁷,F0077,hfg,interaction,move,,Baris Camli,2018-04-18
󰀹,F0039,hfg,other,autonom car,,Baris Camli,2018-04-18
󰀂,F0002,hfg,ui-element,duplicate,"make copy, second, file, create, page, document",Kai Wanschura,2018-04-18
󰀇,F0007,hfg,ui-element,save,"store, hard drive, record, hdd, harddisk, download",Kai Wanschura,2018-04-18
󰀊,F000A,hfg,ui-element,edit,"change, editing, pencil, page, document, file, write, writing, scribble",Kai Wanschura,2018-04-18
󰀑,F0011,hfg,ui-element,home button,"house, main, page, website, navigation, app, ui, symbol, internet, homepage",Kai Wanschura,2018-04-18
󰀔,F0014,hfg,ui-element,add button,"new, file, plus, more, create, set",Kai Wanschura,2018-04-18
󰀗,F0017,hfg,technology,tablet,"technology, device, portable, screen, phablet, ipad",Kai Wanschura,2018-04-18
󰀛,F001B,hfg,technology,gps,"navigation, localization, location, reception, signal, wireless, crosshair, where",Kai Wanschura,2018-04-18
󰀞,F001E,hfg,interaction,scroll,"vertical, y-axis, mouse, wheel, movement, up, down",Kai Wanschura,2018-04-18
󰀡,F0021,hfg,other,switch,"toggling, changeover switch, exchange counter, left, right",Kai Wanschura,2018-04-18
󰀤,F0024,hfg,other,emergency exit,"alarm, fire, escape, way, route, guidance, signage, run, person, people, humans",Kai Wanschura,2018-04-18
󰀮,F002E,hfg,brand,pinterest,"social, platform, pins",Kai Wanschura,2018-04-18
󰀱,F0031,hfg,interaction,swipe,"swipe, finger, move, hand, sideways, app",Kai Wanschura,2018-04-18
󰀷,F0037,hfg,ui-element,archive,"save, save to, library, cupboard, drawer",Kai Wanschura,2018-04-18
󰀺,F003A,hfg,situation,chats,"messaging, typing, message, text, writing, write, dialog",Kai Wanschura,2018-04-18
󰁀,F0040,hfg,situation,collaboration,"collab, team, teamwork, group, work, communication, circle",Kai Wanschura,2018-04-18
󰁃,F0043,hfg,ui-element,overview,"overview, lines, list",Kai Wanschura,2018-04-18
󰁆,F0046,hfg,interaction,scroll horizontal,"x-axis, move, mouse, scrollwheel, scrolling",Kai Wanschura,2018-04-18
󰁉,F0049,hfg,other,scale,"measurement, scaling, size, distance, meters, inches, miles, kilometers",Kai Wanschura,2018-04-18
󰁌,F004C,hfg,interaction,page move,"movement, left, right, site, document, next, previous, paper",Kai Wanschura,2018-04-18
󰁏,F004F,hfg,technology,smartwatch,"clock, apps, monitor, intelligent, device, armlet",Kai Wanschura,2018-04-18
󰁕,F0055,hfg,technology,washing machine,"clothing, garment, cleaner, home electronics, appliance",Kai Wanschura,2018-04-18
󰁖,F0056,hfg,interaction,swipe left,"finger, movement, gesture, touch, app, left, x-axis, hand",Kai Wanschura,2018-04-18
󰁗,F0057,hfg,interaction,swipe up,"finger, movement, gesture, touch, app, up, y-axis, hand",Kai Wanschura,2018-04-18
󰁘,F0058,hfg,interaction,swipe right,"finger, movement, gesture, touch, app, right, x-axis, hand",Kai Wanschura,2018-04-18
󰁙,F0059,hfg,interaction,swipe down,"finger, movement, gesture, touch, app, down, y-axis, hand",Kai Wanschura,2018-04-18
󰁛,F005B,hfg,other,stairway,"steps, up, down, ascend, descend, walk",Kai Wanschura,2018-04-18
󰁡,F0061,hfg,sign,parking garage,"parking lot, car, automobile, vehicle, sign, traffic sign, p",Kai Wanschura,2018-04-18
󰁥,F0065,hfg,people,people dialogue,"communication, talking, chatting, users, humans, conversation, two, face-to-face",Kai Wanschura,2018-04-18
